tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000066,3.8,11,short,Dessinateur: Von Bismark,Dessinateur: Von Bismark,0,1896,\N,\N,Short
tt0000067,5.8,39,short,Conjurer Making Ten Hats in Sixty Seconds,Dix chapeaux en 60 secondes,0,1896,\N,\N,Fantasy
tt0000067,5.8,39,short,Conjurer Making Ten Hats in Sixty Seconds,Dix chapeaux en 60 secondes,0,1896,\N,\N,Short
tt0000068,4.0,11,short,Unloading the Boat,DÃ©chargement de bateaux,0,1896,\N,\N,Documentary
tt0000068,4.0,11,short,Unloading the Boat,DÃ©chargement de bateaux,0,1896,\N,\N,Short
tt0000069,4.9,314,short,Post No Bills,DÃ©fense d'afficher,0,1896,\N,1,Short
tt0000070,6.4,2058,short,DÃ©molition d'un mur,DÃ©molition d'un mur,0,1896,\N,1,Documentary
tt0000070,6.4,2058,short,DÃ©molition d'un mur,DÃ©molition d'un mur,0,1896,\N,1,Short
tt0000071,3.7,14,short,Automobiles Starting a Race,DÃ©part des automobiles,0,1896,\N,\N,Short
tt0000071,3.7,14,short,Automobiles Starting a Race,DÃ©part des automobiles,0,1896,\N,\N,Sport
tt0000072,4.2,13,short,Officers of French Army Leaving Service,DÃ©part des officiers,0,1896,\N,\N,Short
tt0000073,4.0,11,short,Effets de mer sur les rochers,Effets de mer sur les rochers,0,1896,\N,\N,Documentary
tt0000073,4.0,11,short,Effets de mer sur les rochers,Effets de mer sur les rochers,0,1896,\N,\N,Short
tt0000074,4.2,15,short,Enfants jouant sur la plage,Enfants jouant sur la plage,0,1896,\N,\N,Documentary
tt0000074,4.2,15,short,Enfants jouant sur la plage,Enfants jouant sur la plage,0,1896,\N,\N,Short
tt0000075,6.3,1385,short,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au thÃ©Ã¢tre Robert Houdin,0,1896,\N,1,Horror
tt0000075,6.3,1385,short,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au thÃ©Ã¢tre Robert Houdin,0,1896,\N,1,Short
tt0000076,4.5,393,short,Exit of Rip and the Dwarf,Exit of Rip and the Dwarf,0,1896,\N,1,Drama
tt0000076,4.5,393,short,Exit of Rip and the Dwarf,Exit of Rip and the Dwarf,0,1896,\N,1,Short
tt0000077,4.8,17,short,"Le fakir, mystÃ¨re indien","Le fakir, mystÃ¨re indien",0,1896,\N,\N,Short
tt0000078,4.3,45,short,Feira de Gado na Corujeira,Feira de Gado na Corujeira,0,1896,\N,1,Documentary
tt0000078,4.3,45,short,Feira de Gado na Corujeira,Feira de Gado na Corujeira,0,1896,\N,1,Short
tt0000079,4.4,17,short,La gare Saint-Lazare,La gare Saint-Lazare,0,1896,\N,\N,Documentary
tt0000079,4.4,17,short,La gare Saint-Lazare,La gare Saint-Lazare,0,1896,\N,\N,Short
tt0000080,4.1,13,short,Grandes manoeuvres,Grandes manoeuvres,0,1896,\N,\N,Documentary
tt0000080,4.1,13,short,Grandes manoeuvres,Grandes manoeuvres,0,1896,\N,\N,Short
tt0000081,4.1,14,short,Towing a Boat on the River,Les haleurs de bateaux,0,1896,\N,\N,Documentary
tt0000081,4.1,14,short,Towing a Boat on the River,Les haleurs de bateaux,0,1896,\N,\N,Short
tt0000082,5.0,21,short,A Hard Wash,A Hard Wash,0,1896,\N,\N,Comedy
tt0000082,5.0,21,short,A Hard Wash,A Hard Wash,0,1896,\N,\N,Short
tt0000083,4.8,16,short,Les indiscrets,Les indiscrets,0,1896,\N,\N,Short
tt0000084,4.1,14,short,Les ivrognes,Les ivrognes,0,1896,\N,\N,Short
tt0000085,4.8,16,short,Gardener Burning Weeds,Jardinier brÃ»lant des herbes,0,1896,\N,\N,Short
tt0000086,4.1,14,short,"Beach and Pier at Trouville, 1st part",JetÃ©e et plage de Trouville (1er partie),0,1896,\N,\N,Documentary
tt0000086,4.1,14,short,"Beach and Pier at Trouville, 1st part",JetÃ©e et plage de Trouville (1er partie),0,1896,\N,\N,Short
tt0000087,4.8,17,short,"Beach and Pier at Trouville, 2nd part",JetÃ©e et plage de Trouville (2e partie),0,1896,\N,\N,Documentary
tt0000087,4.8,17,short,"Beach and Pier at Trouville, 2nd part",JetÃ©e et plage de Trouville (2e partie),0,1896,\N,\N,Short
tt0000088,4.7,14,short,Market Day,Jour de marchÃ© Ã  Trouville,0,1896,\N,\N,Documentary
tt0000088,4.7,14,short,Market Day,Jour de marchÃ© Ã  Trouville,0,1896,\N,\N,Short
tt0000089,6.2,760,short,Leaving Jerusalem by Railway,DÃ©part de JÃ©rusalem en chemin de fer,0,1897,\N,1,Documentary
tt0000089,6.2,760,short,Leaving Jerusalem by Railway,DÃ©part de JÃ©rusalem en chemin de fer,0,1897,\N,1,Short
tt0000090,4.0,13,short,LibÃ©ration des territoriaux,LibÃ©ration des territoriaux,0,1896,\N,\N,Documentary
tt0000090,4.0,13,short,LibÃ©ration des territoriaux,LibÃ©ration des territoriaux,0,1896,\N,\N,Short
tt0000091,6.7,2466,short,The House of the Devil,Le manoir du diable,0,1896,\N,3,Horror
tt0000091,6.7,2466,short,The House of the Devil,Le manoir du diable,0,1896,\N,3,Short
tt0000092,4.6,11,short,MarÃ©e montante sur Brise-Larmes,MarÃ©e montante sur Brise-Larmes,0,1896,\N,\N,Documentary
tt0000092,4.6,11,short,MarÃ©e montante sur Brise-Larmes,MarÃ©e montante sur Brise-Larmes,0,1896,\N,\N,Short
tt0000093,5.0,61,short,Melbourne,Melbourne,0,1896,\N,\N,Documentary
tt0000093,5.0,61,short,Melbourne,Melbourne,0,1896,\N,\N,Short
tt0000094,4.2,13,short,Miss de Vere,Miss de Vere,0,1896,\N,\N,Short
tt0000095,4.8,18,short,The Mysterious Paper,Le papier protÃ©e,0,1896,\N,\N,Short
tt0000096,4.5,11,short,Place Saint-Augustin,Place Saint-Augustin,0,1896,\N,\N,Documentary
tt0000096,4.5,11,short,Place Saint-Augustin,Place Saint-Augustin,0,1896,\N,\N,Short
tt0000097,4.9,17,short,"Place de l'OpÃ©ra, First View","Place de l'OpÃ©ra, 1er aspect",0,1896,\N,\N,Documentary
tt0000097,4.9,17,short,"Place de l'OpÃ©ra, First View","Place de l'OpÃ©ra, 1er aspect",0,1896,\N,\N,Short
tt0000098,5.5,18,short,"Place de l'OpÃ©ra, Second View","Place de l'OpÃ©ra, 2e aspect",0,1896,\N,\N,Documentary
tt0000098,5.5,18,short,"Place de l'OpÃ©ra, Second View","Place de l'OpÃ©ra, 2e aspect",0,1896,\N,\N,Short
tt0000099,4.7,14,short,Place de la Bastille,Place de la Bastille,0,1896,\N,\N,Documentary
tt0000099,4.7,14,short,Place de la Bastille,Place de la Bastille,0,1896,\N,\N,Short
tt0000100,4.9,30,short,Place de la Concorde,Place de la Concorde,0,1896,\N,\N,Documentary
tt0000100,4.9,30,short,Place de la Concorde,Place de la Concorde,0,1896,\N,\N,Short
tt0000101,4.6,12,short,Place du thÃ©Ã¢tre franÃ§ais,Place du thÃ©Ã¢tre franÃ§ais,0,1896,\N,\N,Documentary
